ALGORITHM_NAME, SET_NUMBER(ELEMENTS_COUNTS), SHUFFLE_NUMBER, DURATION (NANOSECONDS), DURATION (MILLISECONDS) 
BUBBLE_SORT,1(100),1,398790,0
HEAP_SORT,1(100),1,135281,0
INSERTION_SORT,1(100),1,62368,0
MERGE_SORT,1(100),1,83739,0
QUICK_SORT,1(100),1,42533,0
SELECTION_SORT,1(100),1,106716,0
BUBBLE_SORT,2(1000),1,6576690,6
HEAP_SORT,2(1000),1,1334446,1
INSERTION_SORT,2(1000),1,7819226,7
MERGE_SORT,2(1000),1,1737427,1
QUICK_SORT,2(1000),1,395927,0
SELECTION_SORT,2(1000),1,13912898,13
BUBBLE_SORT,3(10000),1,155631634,155
HEAP_SORT,3(10000),1,2298458,2
INSERTION_SORT,3(10000),1,54603141,54
MERGE_SORT,3(10000),1,2424730,2
QUICK_SORT,3(10000),1,711956,0
SELECTION_SORT,3(10000),1,40378405,40
BUBBLE_SORT,4(20000),1,967743353,967
HEAP_SORT,4(20000),1,3549375,3
INSERTION_SORT,4(20000),1,42545771,42
MERGE_SORT,4(20000),1,1874315,1
QUICK_SORT,4(20000),1,1445284,1
SELECTION_SORT,4(20000),1,150896574,150
BUBBLE_SORT,5(40000),1,3897068345,3897
HEAP_SORT,5(40000),1,4816774,4
INSERTION_SORT,5(40000),1,164631168,164
MERGE_SORT,5(40000),1,3885728,3
QUICK_SORT,5(40000),1,3019144,3
SELECTION_SORT,5(40000),1,607197759,607
BUBBLE_SORT,6(60000),1,8898689120,8898
HEAP_SORT,6(60000),1,7836826,7
INSERTION_SORT,6(60000),1,383848995,383
MERGE_SORT,6(60000),1,6051208,6
QUICK_SORT,6(60000),1,4560877,4
SELECTION_SORT,6(60000),1,1369691147,1369
